Claim_Number,date_of_loss,Notifier,Loss_code,Loss_description,Notification_period,Inception_to_loss,Location_of_incident,Weather_conditions,Vehicle_mobile,Time_hour,Main_driver,PH_considered_TP_at_fault, Vechile_registration_present , Incident_details_present , Injury_details_present , TP_type_insd_pass_back , TP_type_insd_pass_front , TP_type_driver , TP_type_pass_back , TP_type_pass_front , TP_type_bike , TP_type_cyclist , TP_type_pass_multi , TP_type_pedestrian , TP_type_other , TP_type_nk , TP_injury_whiplash , TP_injury_traumatic , TP_injury_fatality , TP_injury_unclear , TP_injury_nk , TP_region_eastang , TP_region_eastmid , TP_region_london , TP_region_north , TP_region_northw , TP_region_outerldn , TP_region_scotland , TP_region_southe , TP_region_southw , TP_region_wales , TP_region_westmid , TP_region_yorkshire ,Incurred,Capped_Incurred
4624,2013-06-02,PH,LD003,Head on collision,30,313,Minor Road,WET,Y,16,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,1020.71,1020.71
4625,2013-06-02,PH,LD003,Head on collision,0,115,Minor Road,NORMAL,Y,15,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , 2 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4626,2013-06-03,TP,LD003,Head on collision,9,165,Main Road,N/A,Y,19,Y,N, 1 , 1 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,730.73,730.73
4627,2013-06-03,TP,LD003,Head on collision,0,246,Main Road,NORMAL,Y,11,Other,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4628,2013-06-03,PH,LD003,Head on collision,0,169,Main Road,NORMAL,N,7,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,1857.69,1857.69
4629,2013-06-04,PH,LD003,Head on collision,0,157,Minor Road,NORMAL,Y,16,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4630,2013-06-04,PH,LD003,Head on collision,0,173,Minor Road,NORMAL,N,18,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7499.73,7499.73
4631,2013-06-04,PH,LD003,Head on collision,0,123,Minor Road,NORMAL,N,18,Y,N, 1 , -   , -   , -   , -   , 1 , 3 , 1 , -   , -   , -   , -   , -   , -   , 3 , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 ,67959.71,50000.00
4632,2013-06-05,PH,LD003,Head on collision,1,191,Minor Road,NORMAL,N,18,Y,N, 1 , 1 , 1 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 1 , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4633,2013-06-05,PH,LD003,Head on collision,5,338,Car Park,NORMAL,Y,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3943.14,3943.14
4634,2013-06-06,PH,LD003,Head on collision,0,37,Minor Road,NORMAL,N,7,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,11057.61,11057.61
4635,2013-06-06,PH,LD003,Head on collision,1,81,Minor Road,NORMAL,Y,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3074.39,3074.39
4636,2013-06-08,PH,LD003,Head on collision,0,30,Minor Road,NORMAL,N,11,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,336.09,336.09
4637,2013-06-08,PH,LD003,Head on collision,1,303,Minor Road,NORMAL,Y,9,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,0.00,0.00
4638,2013-06-08,PH,LD003,Head on collision,2,103,Minor Road,NORMAL,Y,22,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,38544.31,38544.31
4639,2013-06-08,Other,LD003,Head on collision,2,34,Main Road,NORMAL,N,20,Y,N, 1 , 1 , 1 , 3 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , 3 , 1 , -   , 2 , 5 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,0.00,0.00
4640,2013-06-08,PH,LD003,Head on collision,2,191,Car Park,NORMAL,Y,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4641,2013-06-10,PH,LD003,Head on collision,15,321,Main Road,NORMAL,Y,15,Y,N, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,282.40,282.40
4642,2013-06-10,PH,LD003,Head on collision,0,313,Minor Road,NORMAL,Y,16,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,5542.94,5542.94
4643,2013-06-11,PH,LD003,Head on collision,1,242,Minor Road,NORMAL,N,18,N,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,1424.67,1424.67
4644,2013-06-11,PH,LD003,Head on collision,0,152,Minor Road,NORMAL,Y,10,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5041.20,5041.20
4645,2013-06-11,PH,LD003,Head on collision,0,357,Minor Road,WET,N,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,3468.82,3468.82
4646,2013-06-11,PH,LD003,Head on collision,0,30,Minor Road,NORMAL,Y,18,N,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,105.40,105.40
4647,2013-06-11,PH,LD003,Head on collision,0,352,Main Road,NORMAL,Y,18,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,232.60,232.60
4648,2013-06-11,PH,LD003,Head on collision,0,252,Minor Road,NORMAL,Y,7,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2009.31,2009.31
4649,2013-06-12,PH,LD003,Head on collision,0,248,Minor Road,WET,Y,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,318.21,318.21
4650,2013-06-12,TP,LD003,Head on collision,1,246,Minor Road,NORMAL,Y,19,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   ,48770.06,48770.06
4651,2013-06-12,PH,LD003,Head on collision,14,89,Main Road,NORMAL,Y,15,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4652,2013-06-12,PH,LD003,Head on collision,0,115,Minor Road,WET,Y,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,0.00,0.00
4653,2013-06-13,PH,LD003,Head on collision,0,132,Main Road,NORMAL,N,9,Y,N, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,74.31,74.31
4654,2013-06-13,PH,LD003,Head on collision,1,172,Main Road,NORMAL,Y,19,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,37670.54,37670.54
4655,2013-06-13,PH,LD003,Head on collision,1,278,Main Road,NORMAL,N,17,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , -   , 1 , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,231.28,231.28
4656,2013-06-14,NamedDriver,LD003,Head on collision,4,245,Minor Road,NORMAL,Y,11,N,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4657,2013-06-14,PH,LD003,Head on collision,0,94,Minor Road,NORMAL,Y,8,Y,N, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4658,2013-06-14,PH,LD003,Head on collision,0,167,Minor Road,WET,N,8,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,1707.60,1707.60
4659,2013-06-14,PH,LD003,Head on collision,0,213,Minor Road,NORMAL,Y,18,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4660,2013-06-14,PH,LD003,Head on collision,0,82,Minor Road,WET,N,16,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5075.12,5075.12
4661,2013-06-14,PH,LD003,Head on collision,0,132,Minor Road,NORMAL,N,8,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,70.31,70.31
4662,2013-06-15,NamedDriver,LD003,Head on collision,0,300,Minor Road,NORMAL,Y,15,N,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1551.23,1551.23
4663,2013-06-15,PH,LD003,Head on collision,9,75,Main Road,WET,Y,14,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,0.00,0.00
4664,2013-06-15,CNF,LD003,Head on collision,5,349,Main Road,N/K,Y,22,Other,N, 1 , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   ,33431.43,33431.43
4665,2013-06-16,PH,LD003,Head on collision,3,351,Minor Road,NORMAL,N,11,N,N, 1 , 1 , -   , -   , -   , 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , 1 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   ,31194.99,31194.99
4666,2013-06-16,PH,LD003,Head on collision,1,142,Main Road,NORMAL,Y,0,Y,N, 1 , 1 , -   , 1 , -   , 2 , 1 , 1 , -   , -   , -   , -   , 1 , -   , 5 , 1 , -   , 1 , 1 , -   , 3 , -   , -   , 2 , -   , -   , -   , -   , -   , -   , 1 ,57657.96,50000.00
4667,2013-06-17,PH,LD003,Head on collision,22,58,Minor Road,NORMAL,Y,13,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4668,2013-06-17,PH,LD003,Head on collision,1,60,Minor Road,NORMAL,Y,18,Y,N, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4669,2013-06-18,PH,LD003,Head on collision,0,70,Car Park,NORMAL,Y,18,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,14520.65,14520.65
4670,2013-06-18,PH,LD003,Head on collision,0,254,Main Road,NORMAL,Y,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,4643.46,4643.46
4671,2013-06-18,PH,LD003,Head on collision,0,147,Main Road,NORMAL,Y,8,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4672,2013-06-18,PH,LD003,Head on collision,0,34,Minor Road,NORMAL,N,14,Y,Y, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,5994.72,5994.72
4673,2013-06-18,PH,LD003,Head on collision,0,45,Main Road,NORMAL,Y,12,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4674,2013-06-20,PH,LD003,Head on collision,1,97,Minor Road,NORMAL,N,16,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1043.50,1043.50
4675,2013-06-20,PH,LD003,Head on collision,0,208,Motorway,NORMAL,Y,13,Y,N, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,398.77,398.77
4676,2013-06-20,PH,LD003,Head on collision,0,60,Minor Road,WET,N,7,Y,N, 1 , 1 , 1 , 2 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   ,5604.64,5604.64
4677,2013-06-21,PH,LD003,Head on collision,0,235,Minor Road,NORMAL,Y,16,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4585.15,4585.15
4678,2013-06-21,PH,LD003,Head on collision,0,267,Main Road,NORMAL,N,13,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4679,2013-06-21,PH,LD003,Head on collision,0,186,Main Road,NORMAL,Y,18,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2310.23,2310.23
4680,2013-06-21,PH,LD003,Head on collision,0,295,Minor Road,WET,Y,12,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   ,10759.77,10759.77
4681,2013-06-21,PH,LD003,Head on collision,0,136,Minor Road,NORMAL,Y,15,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3596.71,3596.71
4682,2013-06-22,PH,LD003,Head on collision,180,29,Main Road,N/K,Y,4,N,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4683,2013-06-22,Other,LD003,Head on collision,0,145,Main Road,WET,N,10,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,10247.84,10247.84
4684,2013-06-22,PH,LD003,Head on collision,1,124,Minor Road,NORMAL,N,11,N,N, 1 , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,65814.69,50000.00
4685,2013-06-23,PH,LD003,Head on collision,0,146,Minor Road,NORMAL,Y,9,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   ,0.00,0.00
4686,2013-06-23,PH,LD003,Head on collision,4,188,Minor Road,NORMAL,Y,18,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,720.08,720.08
4687,2013-06-23,PH,LD003,Head on collision,0,26,Minor Road,WET,Y,13,Y,N, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2026.07,2026.07
4688,2013-06-24,PH,LD003,Head on collision,0,115,Minor Road,NORMAL,Y,15,N,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,165.63,165.63
4689,2013-06-24,PH,LD003,Head on collision,1,110,Main Road,NORMAL,Y,12,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4690,2013-06-24,PH,LD003,Head on collision,0,323,Minor Road,NORMAL,Y,7,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,14712.35,14712.35
4691,2013-06-24,PH,LD003,Head on collision,0,234,Minor Road,NORMAL,Y,8,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,21207.08,21207.08
4692,2013-06-25,PH,LD003,Head on collision,5,174,Minor Road,NORMAL,Y,14,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,863.34,863.34
4693,2013-06-25,PH,LD003,Head on collision,21,234,Minor Road,NORMAL,Y,16,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4694,2013-06-25,PH,LD003,Head on collision,0,301,Minor Road,NORMAL,N,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,4419.13,4419.13
4695,2013-06-25,PH,LD003,Head on collision,0,236,Minor Road,NORMAL,Y,8,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4696,2013-06-26,PH,LD003,Head on collision,1,165,Minor Road,NORMAL,Y,18,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5782.31,5782.31
4697,2013-06-27,PH,LD003,Head on collision,2,135,Main Road,NORMAL,N,20,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 1 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,3110.84,3110.84
4698,2013-06-27,PH,LD003,Head on collision,0,60,Main Road,NORMAL,N,8,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , 2 , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,84881.17,50000.00
4699,2013-06-27,PH,LD003,Head on collision,1,250,Main Road,NORMAL,Y,19,N,N, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , 4 , 3 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,0.00,0.00
4700,2013-06-28,PH,LD003,Head on collision,0,254,Minor Road,WET,Y,9,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4701,2013-06-28,PH,LD003,Head on collision,3,14,Main Road,NORMAL,N,20,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,68722.52,50000.00
4702,2013-06-28,PH,LD003,Head on collision,1,14,Minor Road,NORMAL,N,21,Y,N, 1 , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,19395.06,19395.06
4703,2013-06-28,CNF,LD003,Head on collision,137,17,Main Road,NORMAL,n/k,19,Other,N, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,259.03,259.03
4704,2013-06-28,PH,LD003,Head on collision,7,49,Minor Road,NORMAL,Y,20,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4705,2013-06-28,PH,LD003,Head on collision,1,249,Minor Road,NORMAL,N,18,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 2 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,14499.62,14499.62
4706,2013-06-29,PH,LD003,Head on collision,2,102,Main Road,NORMAL,Y,16,Y,N, 1 , 1 , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,3054.88,3054.88
4707,2013-06-29,PH,LD003,Head on collision,2,91,Main Road,NORMAL,Y,11,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
4708,2013-06-29,PH,LD003,Head on collision,0,122,Minor Road,NORMAL,Y,11,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,1591.03,1591.03
4709,2013-06-29,PH,LD003,Head on collision,0,140,Minor Road,NORMAL,Y,8,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3526.32,3526.32
